DATA_LANCAMENTO_OBRA,TITULO_ORIGINAL,TIPO_OBRA,PAIS_OBRA,CPB_ROE,PUBLICO_TOTAL,RENDA_TOTAL,RAZAO_SOCIAL_DISTRIBUIDORA,REGISTRO_DISTRIBUIDORA,CNPJ_DISTRIBUIDORA
2017-02-23,INTERNET - O FILME,FICÇÃO,BRASIL,B1700044000000,380166.0,4915838.38,SM DISTRIBUIDORA DE FILMES LTDA,11922.0,08.257.054/0001-49
2017-02-23,THE GIRL KING,FICÇÃO,ALEMANHA,E1700035100000,8466.0,99030.86,MARES FILMES EIRELI,6418.0,07.257.887/0001-47
2017-02-23,MOONLIGHT,FICÇÃO,ESTADOS UNIDOS,E1600788800000,340862.0,5910480.29,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,22724.0,17.095.184/0001-13
2017-02-16,A CURE FOR WELLNESS,FICÇÃO,ESTADOS UNIDOS,E1600766700000,106245.0,1472585.0,FOX FILM DO BRASIL LTDA,256.0,33.110.420/0001-80
2017-02-16,ALLIED,FICÇÃO,ESTADOS UNIDOS,E1600699500000,388644.0,6628704.0,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,169.0,27.654.722/0001-16
2017-02-16,A MAN CALLED OVE,FICÇÃO,SUÉCIA,E1700043500000,13401.0,184044.94,ANTONIO FERNANDES FILMES LTDA,532.0,02.668.665/0001-01
2017-02-16,I AM NOT YOUR NEGRO,DOCUMENTÁRIO,FRANÇA,E1700046500000,29626.0,404863.14,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,173.0,03.599.148/0001-82
2017-02-16,THE RED TURTLE,ANIMAÇÃO,FRANÇA,E1600575800000,3671.0,40439.18,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,84.0,00.979.601/0001-98
2017-02-16,JOHN WICK: CHAPTER 2,FICÇÃO,ESTADOS UNIDOS,E1700011600000,552403.0,7754644.54,SM DISTRIBUIDORA DE FILMES LTDA,11922.0,08.257.054/0001-49
2017-02-16,LION,FICÇÃO,ESTADOS UNIDOS,E1600776400000,209164.0,3744553.05,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,22724.0,17.095.184/0001-13
2017-02-16,"JÁ, OLGA HEPNAROVÁ",FICÇÃO,ESLOVÁQUIA,E1700020600000,2388.0,24924.98,OMF SERVICOS & CONSULTORIA LTDA,28508.0,21.437.756/0001-72
2017-02-11,BALLET BOLSHOI: SWAN LAKE,VÍDEOMUSICAL,RÚSSIA,E1600070400000,4152.0,119449.0,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,749.0,01.289.530/0001-64
2017-02-09,TONI ERDMANN,FICÇÃO,ÁUSTRIA,E1700023900000,22483.0,347029.78,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,84.0,00.979.601/0001-98
2017-02-09,STREETCAR NAMED DESIRE,FICÇÃO,ESTADOS UNIDOS,E1500301500000,40.0,539.0,WARNER BROS. (SOUTH) INC.,265.0,33.015.827/0001-28
2017-02-09,THE LEGO BATMAN MOVIE,ANIMAÇÃO,ESTADOS UNIDOS,E1700025200000,1336428.0,19841731.0,WARNER BROS. (SOUTH) INC.,265.0,33.015.827/0001-28
2017-02-09,FIFTY SHADES DARKER,FICÇÃO,ESTADOS UNIDOS,E1500757600000,4628463.0,66565841.0,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.,33787.0,24.810.280/0001-61
2017-02-09,REDEMOINHO,FICÇÃO,BRASIL,B1600243000000,12130.0,143450.9,VITRINE FILMES LTDA,16713.0,11.620.976/0001-83
2017-02-09,MARGUERITE ET JULIEN,FICÇÃO,FRANÇA,E1700011000000,2089.0,25074.16,MARES FILMES EIRELI,6418.0,07.257.887/0001-47
2017-02-09,A CIDADE ONDE ENVELHEÇO,FICÇÃO,PORTUGAL,B1600181500000,9101.0,70408.98,VITRINE FILMES LTDA,16713.0,11.620.976/0001-83
2017-02-09,LEGO BATMAN THE MOVIE DC SUPER HEROES UNITE,ANIMAÇÃO,ESTADOS UNIDOS,E1500826200000,305.0,8792.2,WARNER BROS. (SOUTH) INC.,265.0,33.015.827/0001-28
